target,text
1,You win
0,You lost
0,You lost
1,You Win
0,You lost
1,You Win
0,you hi
0,You lost
1,You Win
0,you hi
0,you hello
1,you win
0,Checking model
0,You winner claimit
0,You winner claimit
1,You winner claim it
0,Checking
0,You
0,You
1,Congratulations! You've won a free iPhone X! Click the link below to claim your prize now
0,Testing
0,Testing
0,Testing Hove
0,ok to
0,Testering
0,Testering
0,lolplpjpj
0,kok
0,Extra tree bonus
0,Extra tree bonus
0,"Subject: ""Congratulations! You've Won a Dream Vacation""Content:""Dear recipient,You're our lucky winner! You've won an all-expenses-paid dream vacation to a tropical paradise. Just click this link to claim your prize: [Dummy Link]. Act fast, this offer won't last long!"""
0,Extra tree bonus
0,"Subject: ""Congratulations! You've Won a Dream Vacation""Content:""Dear recipient,You're our lucky winner! You've won an all-expenses-paid dream vacation to a tropical paradise. Just click this link to claim your prize: [Dummy Link]. Act fast, this offer won't last long!"""
1,"Subject: ""Congratulations! You've Won a Dream Vacation""Content:""Dear recipient,You're our lucky winner! You've won an all-expenses-paid dream vacation to a tropical paradise. Just click this link to claim your prize: [Dummy Link]. Act fast, this offer won't last long!"""
0,Extra tree bonus
0,"Subject: ""Congratulations! You've Won a Dream Vacation""Content:""Dear recipient,You're our lucky winner! You've won an all-expenses-paid dream vacation to a tropical paradise. Just click this link to claim your prize: [Dummy Link]. Act fast, this offer won't last long!"""
1,"Subject: ""Congratulations! You've Won a Dream Vacation""Content:""Dear recipient,You're our lucky winner! You've won an all-expenses-paid dream vacation to a tropical paradise. Just click this link to claim your prize: [Dummy Link]. Act fast, this offer won't last long!"""
1,"Subject: ""Limited Time Offer - Get Rich Quick!""Content:""Hey there,Get ready to make millions in just days! Our exclusive money-making system is guaranteed to change your life. Click here to unlock the secret to financial success: [Dummy Link]."""
0,Extra tree bonus
0,"Subject: ""Congratulations! You've Won a Dream Vacation""Content:""Dear recipient,You're our lucky winner! You've won an all-expenses-paid dream vacation to a tropical paradise. Just click this link to claim your prize: [Dummy Link]. Act fast, this offer won't last long!"""
1,"Subject: ""Congratulations! You've Won a Dream Vacation""Content:""Dear recipient,You're our lucky winner! You've won an all-expenses-paid dream vacation to a tropical paradise. Just click this link to claim your prize: [Dummy Link]. Act fast, this offer won't last long!"""
1,"Subject: ""Limited Time Offer - Get Rich Quick!""Content:""Hey there,Get ready to make millions in just days! Our exclusive money-making system is guaranteed to change your life. Click here to unlock the secret to financial success: [Dummy Link]."""
0,"Subject: ""Limited Time Offer - Get Rich Quick!""Content:""Hey there,Get ready to make millions in just days! Our exclusive money-making system is guaranteed to change your life. Click here to unlock the secret to financial success: [Dummy Link]."""
1,"Subject: ""Invitation to Our Annual Charity Gala""Content:""Dear friends,You are cordially invited to our annual charity gala event, where we raise funds for a noble cause. Join us on [Event Date] at [Venue]. Click here for more details: [Dummy Link]."""
1,"Subject: ""Invitation to Our Annual Charity Gala""Content:""Dear friends,You are cordially invited to our annual charity gala event, where we raise funds for a noble cause. Join us on [Event Date] at [Venue]. Click here for more details: [Dummy Link]."""
0,"Subject: ""Invitation to Our Annual Charity Gala""Content:""Dear friends,You are cordially invited to our annual charity gala event, where we raise funds for a noble cause. Join us on [Event Date] at [Venue]. Click here for more details: [Dummy Link]."""
1,"Subject: Invitation to the Annual Company PicnicDear Employees,It's that time of the year again! We're excited to invite you and your families to our annual company picnic. Join us for a day of fun, games, and great food. Please RSVP to confirm your attendance.Warmest wishes,HR Department"
1,"Subject: Invitation to the Annual Company PicnicDear Employees,It's that time of the year again! We're excited to invite you and your families to our annual company picnic. Join us for a day of fun, games, and great food. Please RSVP to confirm your attendance.Warmest wishes,HR Department"
0,"Subject: Invitation to the Annual Company PicnicDear Employees,It's that time of the year again! We're excited to invite you and your families to our annual company picnic. Join us for a day of fun, games, and great food. Please RSVP to confirm your attendance.Warmest wishes,HR Department"
1,"Subject: Invitation to the Annual Company PicnicDear Employees,It's that time of the year again! We're excited to invite you and your families to our annual company picnic. Join us for a day of fun, games, and great food. Please RSVP to confirm your attendance.Warmest wishes,HR Department"
0,"Subject: Invitation to the Annual Company PicnicDear Employees,It's that time of the year again! We're excited to invite you and your families to our annual company picnic. Join us for a day of fun, games, and great food. Please RSVP to confirm your attendance.Warmest wishes,HR Department"
0,"Subject: Monthly Newsletter - October EditionHello Subscribers,Our October newsletter is now available! In this edition, you'll find the latest industry trends, company updates, and helpful tips. We hope you enjoy reading it. Feel free to share your thoughts with us.Warmest regards,Newsletter Team"
1,"Subject: Invitation to the Annual Company PicnicDear Employees,It's that time of the year again! We're excited to invite you and your families to our annual company picnic. Join us for a day of fun, games, and great food. Please RSVP to confirm your attendance.Warmest wishes,HR Department"
0,"Subject: Invitation to the Annual Company PicnicDear Employees,It's that time of the year again! We're excited to invite you and your families to our annual company picnic. Join us for a day of fun, games, and great food. Please RSVP to confirm your attendance.Warmest wishes,HR Department"
0,"Subject: Monthly Newsletter - October EditionHello Subscribers,Our October newsletter is now available! In this edition, you'll find the latest industry trends, company updates, and helpful tips. We hope you enjoy reading it. Feel free to share your thoughts with us.Warmest regards,Newsletter Team"
1,"Subject: Monthly Newsletter - October EditionHello Subscribers,Our October newsletter is now available! In this edition, you'll find the latest industry trends, company updates, and helpful tips. We hope you enjoy reading it. Feel free to share your thoughts with us.Warmest regards,Newsletter Team"
1,"Subject: Invitation to the Annual Company PicnicDear Employees,It's that time of the year again! We're excited to invite you and your families to our annual company picnic. Join us for a day of fun, games, and great food. Please RSVP to confirm your attendance.Warmest wishes,HR Department"
0,"Subject: Invitation to the Annual Company PicnicDear Employees,It's that time of the year again! We're excited to invite you and your families to our annual company picnic. Join us for a day of fun, games, and great food. Please RSVP to confirm your attendance.Warmest wishes,HR Department"
0,"Subject: Monthly Newsletter - October EditionHello Subscribers,Our October newsletter is now available! In this edition, you'll find the latest industry trends, company updates, and helpful tips. We hope you enjoy reading it. Feel free to share your thoughts with us.Warmest regards,Newsletter Team"
1,"Subject: Monthly Newsletter - October EditionHello Subscribers,Our October newsletter is now available! In this edition, you'll find the latest industry trends, company updates, and helpful tips. We hope you enjoy reading it. Feel free to share your thoughts with us.Warmest regards,Newsletter Team"
0,"Subject: Invitation to Charity Fundraising EventDear Friends,We're excited to invite you to our upcoming charity fundraising event to support a great cause. Your presence and contribution can make a significant difference. Please see the attached invitation for event details. We look forward to seeing you there.Sincerely,Event Organizers"
1,"Subject: Invitation to the Annual Company PicnicDear Employees,It's that time of the year again! We're excited to invite you and your families to our annual company picnic. Join us for a day of fun, games, and great food. Please RSVP to confirm your attendance.Warmest wishes,HR Department"
0,"Subject: Invitation to the Annual Company PicnicDear Employees,It's that time of the year again! We're excited to invite you and your families to our annual company picnic. Join us for a day of fun, games, and great food. Please RSVP to confirm your attendance.Warmest wishes,HR Department"
0,"Subject: Monthly Newsletter - October EditionHello Subscribers,Our October newsletter is now available! In this edition, you'll find the latest industry trends, company updates, and helpful tips. We hope you enjoy reading it. Feel free to share your thoughts with us.Warmest regards,Newsletter Team"
1,"Subject: Monthly Newsletter - October EditionHello Subscribers,Our October newsletter is now available! In this edition, you'll find the latest industry trends, company updates, and helpful tips. We hope you enjoy reading it. Feel free to share your thoughts with us.Warmest regards,Newsletter Team"
0,"Subject: Invitation to Charity Fundraising EventDear Friends,We're excited to invite you to our upcoming charity fundraising event to support a great cause. Your presence and contribution can make a significant difference. Please see the attached invitation for event details. We look forward to seeing you there.Sincerely,Event Organizers"
0,You alll died
1,"Subject: Invitation to the Annual Company PicnicDear Employees,It's that time of the year again! We're excited to invite you and your families to our annual company picnic. Join us for a day of fun, games, and great food. Please RSVP to confirm your attendance.Warmest wishes,HR Department"
0,"Subject: Invitation to the Annual Company PicnicDear Employees,It's that time of the year again! We're excited to invite you and your families to our annual company picnic. Join us for a day of fun, games, and great food. Please RSVP to confirm your attendance.Warmest wishes,HR Department"
0,"Subject: Monthly Newsletter - October EditionHello Subscribers,Our October newsletter is now available! In this edition, you'll find the latest industry trends, company updates, and helpful tips. We hope you enjoy reading it. Feel free to share your thoughts with us.Warmest regards,Newsletter Team"
1,"Subject: Monthly Newsletter - October EditionHello Subscribers,Our October newsletter is now available! In this edition, you'll find the latest industry trends, company updates, and helpful tips. We hope you enjoy reading it. Feel free to share your thoughts with us.Warmest regards,Newsletter Team"
0,"Subject: Invitation to Charity Fundraising EventDear Friends,We're excited to invite you to our upcoming charity fundraising event to support a great cause. Your presence and contribution can make a significant difference. Please see the attached invitation for event details. We look forward to seeing you there.Sincerely,Event Organizers"
0,You alll died
0,Subject: Invitation to Charity Fundraising Event
1,"Subject: Invitation to the Annual Company PicnicDear Employees,It's that time of the year again! We're excited to invite you and your families to our annual company picnic. Join us for a day of fun, games, and great food. Please RSVP to confirm your attendance.Warmest wishes,HR Department"
0,"Subject: Invitation to the Annual Company PicnicDear Employees,It's that time of the year again! We're excited to invite you and your families to our annual company picnic. Join us for a day of fun, games, and great food. Please RSVP to confirm your attendance.Warmest wishes,HR Department"
0,"Subject: Monthly Newsletter - October EditionHello Subscribers,Our October newsletter is now available! In this edition, you'll find the latest industry trends, company updates, and helpful tips. We hope you enjoy reading it. Feel free to share your thoughts with us.Warmest regards,Newsletter Team"
1,"Subject: Monthly Newsletter - October EditionHello Subscribers,Our October newsletter is now available! In this edition, you'll find the latest industry trends, company updates, and helpful tips. We hope you enjoy reading it. Feel free to share your thoughts with us.Warmest regards,Newsletter Team"
0,"Subject: Invitation to Charity Fundraising EventDear Friends,We're excited to invite you to our upcoming charity fundraising event to support a great cause. Your presence and contribution can make a significant difference. Please see the attached invitation for event details. We look forward to seeing you there.Sincerely,Event Organizers"
0,You alll died
0,Subject: Invitation to Charity Fundraising Event
0,"['rfmodel.pkl', 'knmodel.pkl', 'gbdtmodel.pkl','etcmodel.pkl']"
1,"Subject: Invitation to the Annual Company PicnicDear Employees,It's that time of the year again! We're excited to invite you and your families to our annual company picnic. Join us for a day of fun, games, and great food. Please RSVP to confirm your attendance.Warmest wishes,HR Department"
